nom,prix,website,source,date_scraped,category,promotion,url,description,normalized_nom,normalized_description,nom_and_description,html
Insignia™ - 5.0 Cu. Ft. Garage Ready-Chest Freezer,169.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,insignia™ - 5.0 cu. ft. garage ready-chest freezer,insignia™ - 5.0 cu. ft. garage ready-chest freezer,,
Insignia™ - 17 Cu. Ft. Garage Ready Convertible Upright Freezer with ENERGY STAR Certification,599.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,insignia™ - 17 cu. ft. garage ready convertible upright freezer with energy star certification,insignia™ - 17 cu. ft. garage ready convertible upright freezer with energy star certification,,
Insignia™ - 13.8 Cu. Ft. Garage Ready Convertible Upright Freezer with ENERGY STAR Certification,449.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,insignia™ - 13.8 cu. ft. garage ready convertible upright freezer with energy star certification,insignia™ - 13.8 cu. ft. garage ready convertible upright freezer with energy star certification,,
Insignia™ - 14.0 Cu. Ft. Garage-Ready Chest Freezer,399.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,insignia™ - 14.0 cu. ft. garage-ready chest freezer,insignia™ - 14.0 cu. ft. garage-ready chest freezer,,
Insignia™ - 7.0 Cu. Ft. Garage Ready-Chest Freezer,199.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,insignia™ - 7.0 cu. ft. garage ready-chest freezer,insignia™ - 7.0 cu. ft. garage ready-chest freezer,,
Insignia™ - 7 Cu. Ft. Garage Ready Upright Convertible Freezer with ENERGY STAR Certification Look,299.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,insignia™ - 7 cu. ft. garage ready upright convertible freezer with energy star certification look,insignia™ - 7 cu. ft. garage ready upright convertible freezer with energy star certification look,,
GE Profile - Opal 2.0 Ultra Nugget Ice Maker with Side Tank and Scale Inhibiting Filter,629.99,bestbuy.com,https://www.bestbuy.com/site/home-appliances/freezers-ice-makers/abcat0902000.c?id=abcat0902000,2025-01-03 20:07:23,freezers,,,,ge profile - opal 2.0 ultra nugget ice maker with side tank and scale inhibiting filter,ge profile - opal 2.0 ultra nugget ice maker with side tank and scale inhibiting filter,,
"Café - 6.7 Cu. Ft. Slide-In Double Oven Gas True Convection Range with Built-In Wifi, Customizable",3199.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"café - 6.7 cu. ft. slide-in double oven gas true convection range with built-in wifi, customizable","café - 6.7 cu. ft. slide-in double oven gas true convection range with built-in wifi, customizable",,
"Samsung - 6.0 cu. ft. Freestanding Gas Range with WiFi, No-Preheat Air Fry & Convection",1034.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"samsung - 6.0 cu. ft. freestanding gas range with wifi, no-preheat air fry & convection","samsung - 6.0 cu. ft. freestanding gas range with wifi, no-preheat air fry & convection",,
"Samsung - 6.3 cu. ft. Freestanding Electric Range with WiFi, No-Preheat Air Fry & Convection",749.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"samsung - 6.3 cu. ft. freestanding electric range with wifi, no-preheat air fry & convection","samsung - 6.3 cu. ft. freestanding electric range with wifi, no-preheat air fry & convection",,
GE - 5.0 Cu. Ft. Freestanding Gas Range,649.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,ge - 5.0 cu. ft. freestanding gas range,ge - 5.0 cu. ft. freestanding gas range,,
Samsung - 6.3 cu. ft. Freestanding Electric Range with WiFi and Steam Clean,679.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,samsung - 6.3 cu. ft. freestanding electric range with wifi and steam clean,samsung - 6.3 cu. ft. freestanding electric range with wifi and steam clean,,
"Samsung - 6.3 cu. ft. Freestanding Electric Convection+ Range with WiFi, No-Preheat Air Fry and Griddle",899.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"samsung - 6.3 cu. ft. freestanding electric convection+ range with wifi, no-preheat air fry and griddle","samsung - 6.3 cu. ft. freestanding electric convection+ range with wifi, no-preheat air fry and griddle",,
LG - 6.9 Cu. Ft. Freestanding Double Oven Gas True Convection Smart Range with EasyClean and Air Fry,1399.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,lg - 6.9 cu. ft. freestanding double oven gas true convection smart range with easyclean and air fry,lg - 6.9 cu. ft. freestanding double oven gas true convection smart range with easyclean and air fry,,
"Samsung - 6.0 cu. ft. Freestanding Gas Range with WiFi, No-Preheat Air Fry & Convection",1124.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"samsung - 6.0 cu. ft. freestanding gas range with wifi, no-preheat air fry & convection","samsung - 6.0 cu. ft. freestanding gas range with wifi, no-preheat air fry & convection",,
"Samsung - 6.0 cu. ft. Smart Freestanding Gas Range with Flex Duo, Stainless Cooktop & Air Fry",1199.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"samsung - 6.0 cu. ft. smart freestanding gas range with flex duo, stainless cooktop & air fry","samsung - 6.0 cu. ft. smart freestanding gas range with flex duo, stainless cooktop & air fry",,
"ZLINE - 36"" Legacy Dual Fuel Range w/ 6 Burner Gas Cooktop and Electric Convection Oven (RA36)",2609.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"zline - 36"" legacy dual fuel range w/ 6 burner gas cooktop and electric convection oven (ra36)","zline - 36"" legacy dual fuel range w/ 6 burner gas cooktop and electric convection oven (ra36)",,
Frigidaire 5.1 Cu. Freestanding Gas Range with Air Fry,779.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,frigidaire 5.1 cu. freestanding gas range with air fry,frigidaire 5.1 cu. freestanding gas range with air fry,,
"LG - 6.3 Cu. Ft. Smart Freestanding Electric Convection Range with Easy Clean, Air Fry and WideView Window",899.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,"lg - 6.3 cu. ft. smart freestanding electric convection range with easy clean, air fry and wideview window","lg - 6.3 cu. ft. smart freestanding electric convection range with easy clean, air fry and wideview window",,
Samsung - 6.0 Cu. Ft. Freestanding Gas Convection+ Range with WiFi and No-Preheat Air Fry,1169.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,samsung - 6.0 cu. ft. freestanding gas convection+ range with wifi and no-preheat air fry,samsung - 6.0 cu. ft. freestanding gas convection+ range with wifi and no-preheat air fry,,
LG - 6.3 Cu. Ft. Smart Freestanding Electric Convection Range with EasyClean and InstaView,1099.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,lg - 6.3 cu. ft. smart freestanding electric convection range with easyclean and instaview,lg - 6.3 cu. ft. smart freestanding electric convection range with easyclean and instaview,,
GE - 5.3 Cu. Ft. Freestanding Gas Convection Range with Steam Cleaning and EasyWash Oven Tray ,799.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,ge - 5.3 cu. ft. freestanding gas convection range with steam cleaning and easywash oven tray ,ge - 5.3 cu. ft. freestanding gas convection range with steam cleaning and easywash oven tray ,,
Whirlpool - 5.1 Cu. Ft. Freestanding Gas Range with Broiler Drawer,649.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,whirlpool - 5.1 cu. ft. freestanding gas range with broiler drawer,whirlpool - 5.1 cu. ft. freestanding gas range with broiler drawer,,
Whirlpool - 5.0 Cu. Ft. Freestanding Single Gas Range with Air Fry and Air Baking,849.99,bestbuy.com,https://www.bestbuy.com/site/ranges/all-ranges/pcmcat1710865851607.c?id=pcmcat1710865851607,2025-01-03 20:07:23,ranges,,,,whirlpool - 5.0 cu. ft. freestanding single gas range with air fry and air baking,whirlpool - 5.0 cu. ft. freestanding single gas range with air fry and air baking,,
Samsung - 30 inches - Externally Vented & Recirculating - Wall Range Hood,449.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,samsung - 30 inches - externally vented & recirculating - wall range hood,samsung - 30 inches - externally vented & recirculating - wall range hood,,
GE - 36 inches - Convertible - Wall Range Hood,569.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,ge - 36 inches - convertible - wall range hood,ge - 36 inches - convertible - wall range hood,,
GE - 30 inches - Convertible - Wall Range Hood,519.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,ge - 30 inches - convertible - wall range hood,ge - 30 inches - convertible - wall range hood,,
Thor Kitchen Professional - 30 inches - Convertible - Wall Range Hood,699.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,thor kitchen professional - 30 inches - convertible - wall range hood,thor kitchen professional - 30 inches - convertible - wall range hood,,
ZLINE - 36 inches - Externally Vented & Convertible - Wall Range Hood - Brushed ,449.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,zline - 36 inches - externally vented & convertible - wall range hood - brushed ,zline - 36 inches - externally vented & convertible - wall range hood - brushed ,,
Samsung BESPOKE - 35 inches - Convertible - Wall Range Hood,1099.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,samsung bespoke - 35 inches - convertible - wall range hood,samsung bespoke - 35 inches - convertible - wall range hood,,
KitchenAid - 30 inches - Convertible - Wall Range Hood,1286.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,kitchenaid - 30 inches - convertible - wall range hood,kitchenaid - 30 inches - convertible - wall range hood,,
LG STUDIO - 30 inches - Externally Vented - Wall Range Hood,1099.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,lg studio - 30 inches - externally vented - wall range hood,lg studio - 30 inches - externally vented - wall range hood,,
Bosch 300 Series - 30 inches - Externally Vented & Recirculating - Wall Range Hood,1199.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,bosch 300 series - 30 inches - externally vented & recirculating - wall range hood,bosch 300 series - 30 inches - externally vented & recirculating - wall range hood,,
GE Profile - 36 inches - Convertible - Wall Range Hood,1529.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,ge profile - 36 inches - convertible - wall range hood,ge profile - 36 inches - convertible - wall range hood,,
Windster Hoods - 30 inches - Convertible - Wall Range Hood,561.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,windster hoods - 30 inches - convertible - wall range hood,windster hoods - 30 inches - convertible - wall range hood,,
Bosch 500 Series - 36 inches - Externally Vented & Recirculating - Wall Range Hood,1649.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,bosch 500 series - 36 inches - externally vented & recirculating - wall range hood,bosch 500 series - 36 inches - externally vented & recirculating - wall range hood,,
GE Profile - 30 inches - Convertible - Wall Range Hood,1034.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,ge profile - 30 inches - convertible - wall range hood,ge profile - 30 inches - convertible - wall range hood,,
Whirlpool - 30 inches - Externally Vented - Wall Range Hood ,206.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,whirlpool - 30 inches - externally vented - wall range hood ,whirlpool - 30 inches - externally vented - wall range hood ,,
ZLINE DuraSnow - 35 inches - Convertible - Wall Range Hood - DuraSnow ,699.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,zline durasnow - 35 inches - convertible - wall range hood - durasnow ,zline durasnow - 35 inches - convertible - wall range hood - durasnow ,,
Zephyr - 36 inches - Convertible - Shell Range Hood - Satin,1999.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,zephyr - 36 inches - convertible - shell range hood - satin,zephyr - 36 inches - convertible - shell range hood - satin,,
KitchenAid - 36 inches - Convertible - Wall Range Hood,1781.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,kitchenaid - 36 inches - convertible - wall range hood,kitchenaid - 36 inches - convertible - wall range hood,,
Frigidaire - 30 inches - Externally Vented & Recirculating - Wall Range Hood/Glass,779.99,bestbuy.com,https://www.bestbuy.com/site/range-hoods/wall-mount-range-hoods/pcmcat207200050007.c?id=pcmcat207200050007,2025-01-03 20:07:23,range-hoods,,,,frigidaire - 30 inches - externally vented & recirculating - wall range hood/glass,frigidaire - 30 inches - externally vented & recirculating - wall range hood/glass,,
"Café - 24"" Top Control Built-In  Tub Dishwasher with 3rd Rack, CustomFit Top Rack and 42 dBA",1079.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"café - 24"" top control built-in  tub dishwasher with 3rd rack, customfit top rack and 42 dba","café - 24"" top control built-in  tub dishwasher with 3rd rack, customfit top rack and 42 dba",,
"Whirlpool - 24"" Top Control Built-In  Tub Dishwasher with Boost Cycle and 55 dBA",449.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"whirlpool - 24"" top control built-in  tub dishwasher with boost cycle and 55 dba","whirlpool - 24"" top control built-in  tub dishwasher with boost cycle and 55 dba",,
"Bosch - 500 Series 24"" Top Control Smart Built-In  Tub Dishwasher with 3rd Rack and AutoAir, 44 dBA",1149.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"bosch - 500 series 24"" top control smart built-in  tub dishwasher with 3rd rack and autoair, 44 dba","bosch - 500 series 24"" top control smart built-in  tub dishwasher with 3rd rack and autoair, 44 dba",,
"GE - 24"" Top Control Built-In Plastic Tub Dishwasher with 3rd Rack, Bottle Jets and 50 dBA",479.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"ge - 24"" top control built-in plastic tub dishwasher with 3rd rack, bottle jets and 50 dba","ge - 24"" top control built-in plastic tub dishwasher with 3rd rack, bottle jets and 50 dba",,
"Samsung - 24” Top Control Built-In Hybrid  Tub Dishwasher with Height-Adjustable Rack, 53 dBA",429.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"samsung - 24” top control built-in hybrid  tub dishwasher with height-adjustable rack, 53 dba","samsung - 24” top control built-in hybrid  tub dishwasher with height-adjustable rack, 53 dba",,
"GE - 24"" Top Control Built-In  Tub Dishwasher with 3rd Rack, Sanitize Cycle and 47 dBA",809.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"ge - 24"" top control built-in  tub dishwasher with 3rd rack, sanitize cycle and 47 dba","ge - 24"" top control built-in  tub dishwasher with 3rd rack, sanitize cycle and 47 dba",,
"KitchenAid - 24"" Top Control Built-In  Tub Dishwasher with 3rd Rack, 360 Max Jets, 44 dBA",1484.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"kitchenaid - 24"" top control built-in  tub dishwasher with 3rd rack, 360 max jets, 44 dba","kitchenaid - 24"" top control built-in  tub dishwasher with 3rd rack, 360 max jets, 44 dba",,
"Whirlpool - 24"" Top Control Built-In  Tub Dishwasher with 3rd Rack, Large Capacity, 47 dBA",649.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"whirlpool - 24"" top control built-in  tub dishwasher with 3rd rack, large capacity, 47 dba","whirlpool - 24"" top control built-in  tub dishwasher with 3rd rack, large capacity, 47 dba",,
"Frigidaire 24"" Built-In  Tub Dishwasher with 3rd Rack, EvenDry System, 49 dBA",549.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"frigidaire 24"" built-in  tub dishwasher with 3rd rack, evendry system, 49 dba","frigidaire 24"" built-in  tub dishwasher with 3rd rack, evendry system, 49 dba",,
"Samsung - 24"" Top Control Smart Built-In  Tub Dishwasher with Storm Wash, 48 dBA",649.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"samsung - 24"" top control smart built-in  tub dishwasher with storm wash, 48 dba","samsung - 24"" top control smart built-in  tub dishwasher with storm wash, 48 dba",,
"Maytag - 24"" Top Control Built-In  Tub Dishwasher with 3rd Rack, Dual Power Filtration, 47 dBA",899.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"maytag - 24"" top control built-in  tub dishwasher with 3rd rack, dual power filtration, 47 dba","maytag - 24"" top control built-in  tub dishwasher with 3rd rack, dual power filtration, 47 dba",,
"GE Profile - 24"" Top Control Smart Built-In  Tub Dishwasher with 3rd Rack, Microban Protection and 44 dBA",1034.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"ge profile - 24"" top control smart built-in  tub dishwasher with 3rd rack, microban protection and 44 dba","ge profile - 24"" top control smart built-in  tub dishwasher with 3rd rack, microban protection and 44 dba",,
"Whirlpool - 24"" Top Control Built-In  Tub Dishwasher with 3rd Rack, Large Capacity, 47 dBA",929.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"whirlpool - 24"" top control built-in  tub dishwasher with 3rd rack, large capacity, 47 dba","whirlpool - 24"" top control built-in  tub dishwasher with 3rd rack, large capacity, 47 dba",,
"GE Profile - 24"" Top Control Smart Built-In  Tub Dishwasher with 3rd Rack, Dedicated Jet Targeted Wash and 42 dBA",1124.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"ge profile - 24"" top control smart built-in  tub dishwasher with 3rd rack, dedicated jet targeted wash and 42 dba","ge profile - 24"" top control smart built-in  tub dishwasher with 3rd rack, dedicated jet targeted wash and 42 dba",,
"LG - 24"" Top Control Smart Built-In  Tub Dishwasher with 3rd Rack, QuadWash Pro and 42dba",899.99,bestbuy.com,https://www.bestbuy.com/site/dishwashers/built-in-dishwashers/abcat0905001.c?id=abcat0905001&qp=hiddencontrols_facet%3DControl%20Location~Hidden%20Controls,2025-01-03 20:07:23,dishwashers,,,,"lg - 24"" top control smart built-in  tub dishwasher with 3rd rack, quadwash pro and 42dba","lg - 24"" top control smart built-in  tub dishwasher with 3rd rack, quadwash pro and 42dba",,
